Geneid	pOka_M2_3
79501	0
148398	30
26155	1487
339451	233
84069	54
84808	23
57801	240
9636	124
375790	13591
401934	0
54991	270
254173	0
8784	0
7293	0
51150	4547
126792	713
388581	8
118424	833
6339	77
116983	670
126789	248
54973	1122
80772	524
83756	11
1855	2064
54587	510
54998	1275
81669	1671
55052	816
441869	0
643965	0
64856	1
219293	0
83858	216
55210	670
339453	72
29101	1770
643988	971
142678	612
8510	1
984	438
728661	545
728642	123
9906	744
65220	1261
2782	8576
163688	0
339456	1
85452	1
2563	0
5590	431
199990	1027
6497	720
79906	62
11079	2003
5192	491
9651	1
55229	249
388585	0
8764	588
127281	703
79258	2
100287898	2
140625	0
63976	424
27237	32
1953	795
127262	1196
49856	286
7161	25
148870	0
388588	19
57470	765
9731	566
1677	46
339448	246
55966	40
261734	293
8514	185
26038	6
6146	8818
388591	169
23463	2959
390992	0
387509	101
11332	1147
54626	0
83715	0
8718	34
57449	272
79707	276
80835	1
3104	154
9903	1437
148479	590
90326	226
55735	781
23261	577
9341	2737
8863	697
10911	1
3604	11
11315	2578
54206	282
50651	68
473	1373
2023	49059
765	0
155184	0
6518	9
80045	26
9563	1311
80176	248
84275	109
199953	407
5293	233
22883	5274
56998	456
84328	457
64802	209
116362	0
10277	1614
23095	1406
5226	3424
378708	23
100526739	86
1325	1
1676	674
5195	475
54897	31
148345	0
23435	2810
10747	62
6723	1741
5394	1731
2475	1709
10218	327
29914	346
57540	2
26232	39
93611	621
26270	47
10459	617
374946	1
57085	768
284498	0
4524	365
1185	499
4878	16
4879	14
90231	1745
5351	5005
9927	2043
60672	169
943	0
7133	0
55187	1234
9249	2541
343066	0
126767	0
93190	1
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	31
7799	494
23254	194
55092	159
727684	0
114827	1
79180	799
11330	0
63036	0
51032	6
842	122
23341	405
79814	0
84301	90
6248	140
23207	2569
284723	27
388595	0
54751	107
440567	104
