Geneid	pOka_WT_1
79501	0
148398	40
26155	1419
339451	196
84069	41
84808	19
57801	213
9636	117
375790	12727
401934	2
54991	234
254173	0
8784	0
7293	0
51150	4371
126792	700
388581	12
118424	756
6339	103
116983	737
126789	245
54973	1042
80772	502
83756	10
1855	1989
54587	501
54998	1305
81669	1830
55052	787
441869	1
643965	0
64856	0
219293	1
83858	221
55210	624
339453	68
29101	1670
643988	811
142678	581
8510	5
984	397
728661	527
728642	107
9906	736
65220	1144
2782	8255
163688	0
339456	2
85452	0
2563	0
5590	400
199990	916
6497	693
79906	62
11079	1996
5192	469
9651	0
55229	263
388585	0
8764	648
127281	681
79258	1
100287898	1
140625	0
63976	392
27237	35
1953	751
127262	1281
49856	289
7161	16
148870	0
388588	19
57470	778
9731	550
1677	66
339448	217
55966	51
261734	285
8514	153
26038	6
6146	9443
388591	170
23463	2847
390992	0
387509	75
11332	1022
54626	1
83715	0
8718	49
57449	298
79707	274
80835	1
3104	171
9903	1545
148479	608
90326	210
55735	797
23261	618
9341	2828
8863	698
10911	0
3604	14
11315	2582
54206	377
50651	85
473	1272
2023	49469
765	0
155184	0
6518	7
80045	15
9563	1161
80176	224
84275	141
199953	405
5293	205
22883	4884
56998	415
84328	440
64802	206
116362	1
10277	1654
23095	1379
5226	3586
378708	22
100526739	81
1325	4
1676	606
5195	449
54897	33
148345	0
23435	2744
10747	57
6723	1366
5394	1610
2475	1603
10218	310
29914	339
57540	3
26232	40
93611	593
26270	50
10459	576
374946	0
57085	737
284498	1
4524	373
1185	524
4878	16
4879	11
90231	1666
5351	4875
9927	1927
60672	161
943	0
7133	0
55187	1221
9249	2492
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	16
7799	468
23254	207
55092	141
727684	0
114827	3
79180	877
11330	0
63036	0
51032	5
842	135
23341	386
79814	3
84301	78
6248	131
23207	2414
284723	24
388595	0
54751	110
440567	151
23013	1393
7709	322
149563	0
27129	0
1187	0
1188	2
348487	19
1969	3164
128272	22
79363	35
54455	553
26099	2970
374955	0
55707	1187
100133301	0
55672	542
729574	0
729587	0
11223	18
9696	489
4237	0
23400	1523
6390	1696
11240	414
29943	476
51702	854
23569	0
353238	1
55920	1566
55160	654
81569	0
84966	0
127707	49
5081	0
80834	0
8659	287
126917	170
23352	3963
23065	2008
51154	857
22977	5
8574	1312
54896	453
832	2523
440574	677
100532736	6
4681	28
3362	0
255104	269
54546	0
23252	239
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	278
79594	645
163933	12
978	9
65018	1929
1650	8008
57576	22
400745	241
50809	2929
8672	2405
1889	2891
84224	123
249	0
5909	10
84196	1108
401944	4
3339	7553
23436	0
10136	0
998	3511
54361	5
9923	517
2046	0
712	0
714	0
713	0
2048	423
646262	0
729059	0
23028	2017
7798	1426
3352	52
10236	2743
80818	338
6920	8
55616	344
1870	87
3399	1069
6135	20621
6924	925
57095	701
11313	1454
2582	1218
3155	712
2517	901
1269	0
55629	598
10772	567
127294	2
58985	6
163702	56
57822	0
90529	393
57185	1373
11123	108
400746	0
10250	1343
25932	4801
864	0
25949	1055
57035	411
6007	12
