Geneid	pOka_M2_2
79501	0
148398	18
26155	1381
339451	212
84069	44
84808	15
57801	207
9636	97
375790	12689
401934	0
54991	287
254173	0
8784	0
7293	0
51150	4287
126792	686
388581	12
118424	718
6339	102
116983	693
126789	211
54973	1017
80772	442
83756	16
1855	1958
54587	458
54998	1197
81669	1898
55052	810
441869	1
643965	0
64856	0
219293	1
83858	194
55210	639
339453	59
29101	1726
643988	887
142678	561
8510	1
984	400
728661	461
728642	110
9906	696
65220	1144
2782	8201
163688	0
339456	0
85452	0
2563	0
5590	375
199990	891
6497	641
79906	80
11079	1886
5192	460
9651	1
55229	234
388585	0
8764	574
127281	624
79258	0
100287898	3
140625	0
63976	392
27237	36
1953	679
127262	1147
49856	271
7161	24
148870	0
388588	24
57470	806
9731	601
1677	62
339448	223
55966	46
261734	260
8514	152
26038	5
6146	9719
388591	185
23463	2872
390992	0
387509	96
11332	1021
54626	4
83715	0
8718	49
57449	292
79707	254
80835	0
3104	180
9903	1385
148479	560
90326	212
55735	807
23261	565
9341	2707
8863	720
10911	0
3604	13
11315	2568
54206	341
50651	80
473	1396
2023	48419
765	0
155184	0
6518	4
80045	26
9563	1267
80176	251
84275	129
199953	386
5293	215
22883	4846
56998	402
84328	424
64802	202
116362	1
10277	1677
23095	1383
5226	3385
378708	26
100526739	73
1325	6
1676	715
5195	423
54897	24
148345	0
23435	2794
10747	73
6723	1376
5394	1689
2475	1701
10218	325
29914	373
57540	1
26232	32
93611	638
26270	49
10459	511
374946	0
57085	747
284498	0
4524	338
1185	509
4878	13
4879	16
90231	1567
5351	4788
9927	1998
60672	157
943	0
7133	0
55187	1228
9249	2594
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	19
7799	464
23254	195
55092	154
727684	0
114827	2
79180	789
11330	1
63036	0
51032	2
842	134
23341	356
79814	4
84301	96
6248	115
23207	2414
284723	20
388595	0
54751	119
440567	132
23013	1450
7709	356
149563	0
27129	0
1187	0
1188	1
348487	23
1969	3154
128272	18
79363	25
54455	526
26099	3027
374955	1
55707	1191
100133301	0
55672	547
729574	0
729587	0
11223	13
9696	482
4237	0
23400	1584
6390	1479
11240	378
29943	469
51702	862
23569	0
353238	0
55920	1502
55160	617
81569	3
84966	0
127707	45
5081	0
80834	0
8659	254
126917	155
23352	4219
23065	2057
51154	826
22977	9
8574	1208
54896	404
832	2580
440574	697
100532736	5
4681	18
3362	0
255104	303
54546	0
23252	222
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	304
79594	597
163933	14
978	10
65018	2058
1650	7544
57576	12
400745	213
50809	2978
8672	2427
1889	2874
84224	118
249	0
5909	11
84196	1077
401944	5
3339	8410
23436	1
10136	0
998	3500
54361	8
9923	466
2046	0
712	0
714	0
713	0
2048	442
646262	0
729059	2
23028	1937
7798	1478
3352	56
10236	2932
80818	365
6920	6
55616	316
1870	96
3399	963
6135	21311
6924	1007
57095	659
11313	1364
2582	1209
3155	642
2517	836
1269	0
55629	299
10772	519
127294	1
58985	5
163702	61
57822	1
90529	335
57185	1391
11123	109
400746	0
10250	1578
25932	4697
864	0
25949	901
57035	426
6007	8
23585	1545
6006	2
55219	349
26119	625
57134	16
57190	3876
56181	743
79000	49
164091	116
3925	4344
5051	260
2134	1
7780	0
84676	0
149420	108
79927	0
51042	311
10256	3
378807	0
64793	293
83442	3403
91544	545
1043	0
55057	11
257101	0
79727	0
79947	471
3151	4697
6195	625
8289	1317
55650	382
84243	381
2810	40
54707	333
63906	182
8431	0
10726	2672
126695	1
388610	131
115572	1
6548	743
23038	1094
84065	617
84958	1
9064	222
8547	1
388611	0
2827	46
10163	4018
27245	1610
2268	0
2537	577
199870	96
23673	578
5511	816
9473	36
6118	793
27293	53
55113	268
2140	472
5724	13
22826	2463
93974	1638
83667	472
54797	288
65979	712
1104	1515
54952	282
115273	13
6883	394
10691	130
51441	1389
4985	0
2035	682
399474	5
6429	1035
51102	350
10076	55
4146	7
7805	3
9672	2005
9698	2340
79570	2
9410	791
51538	588
2170	21
347735	1603
64129	0
3061	0
553115	1002
1307	29
576	245
90853	703
8073	2724
10657	2557
55116	166
23633	1116
200081	1288
79140	140
55721	115
149069	34
56063	123
8668	3657
84734	7
3932	0
3065	1111
65108	946
100128071	33
81629	132
55108	1357
728116	3
653121	210
339487	286
5928	2474
81493	165
57648	1957
8565	1479
64766	315
252995	4
3208	1
113452	611
127544	250
204	3255
113451	93
55223	109
149076	314
127550	0
1912	1938
7579	99
114784	0
127540	0
84970	0
2709	1
127534	0
2707	0
2701	0
113444	544
58512	0
100506144	295
9204	301
79830	270
6421	3173
9202	1420
79932	2058
23154	841
339488	15
5690	2299
127703	379
63967	324
192670	392
26523	546
192669	116
27285	0
54936	607
1296	58
27095	1057
55700	2109
9967	2716
79729	197
55194	311
83931	441
84967	363
127700	144
64960	966
1441	0
2899	0
80149	315
64769	824
79753	354
7802	196
29889	925
284654	0
54955	304
55143	674
284656	2
149175	621
79693	263
127687	510
4520	432
3633	337
10946	2066
2275	426
51118	521
5453	1
64121	581
26292	491
81025	16
54933	70
79647	1180
4725	2137
23499	11179
643314	368
353500	61
8761	2944
26508	17
84618	0
51440	0
10450	584
656	91
64064	4
54802	307
4610	9
84879	32
10487	6730
5538	2868
6018	716
127391	0
10269	1174
1298	165
64744	332
65243	29
339559	54
64789	119
127396	40
9783	85
4802	644
9132	182
163732	68
1503	571
200172	7
22955	471
100132074	52
1907	125
59269	21
2981	0
2980	0
22887	822
284716	232
84217	7
79717	687
728621	48
10465	377
4904	15658
149461	0
64175	1117
79078	123
100129924	0
374969	110
114625	175
51058	176
6513	23374
440585	3
10969	1057
149465	15
128218	6
149466	0
7075	3
4352	4
991	1398
64834	1960
112950	487
23334	717
81888	0
5792	7692
9682	860
6487	218
9048	6
9670	684
1802	492
533	1251
8704	944
149473	123
6536	27
128209	0
55929	502
79033	1097
55182	894
79639	96
339541	35
11004	993
6202	21543
6210	13788
266675	3
1263	408
343521	13
149478	113
8643	12
8891	289
79654	1015
7389	1447
57643	1
84842	5
4595	119
114034	208
10420	46
25974	171
5052	7067
10327	1114
4678	1493
149483	19
60313	1209
51249	755
3652	138
23139	921
8503	231
10103	54
55624	2010
541468	33
8438	241
10489	1326
7388	1723
387338	390
2166	10
127343	1
148930	0
8569	332
148932	145
64756	872
374973	0
9813	1814
1580	0
1579	0
260293	0
199974	0
284541	0
10158	62
6886	0
6491	381
51727	2486
2301	1
2306	22
388630	14
200010	9
54558	158
84871	8
79656	47
1996	0
63950	2
11124	797
1031	472
284546	0
26994	1526
22996	39
2060	934
114883	2410
4898	2269
5865	311
51060	1417
112970	190
91408	1083
9372	433
200014	775
4998	161
84950	647
23318	704
2882	0
348378	0
65260	327
79699	750
440590	14
55268	429
6342	2744
127435	0
6512	50
1376	673
54987	597
4116	278
7804	812
63948	0
148979	20
55706	1093
54432	445
1733	2
51668	417
115353	696
388633	0
9528	3292
127428	252
200008	0
606495	163
51253	2040
23648	586
26027	45
338094	3
374977	0
7268	392
25973	154
55001	1
163747	0
1718	8764
199964	1
7809	0
255738	2
23358	1294
8613	274
5563	612
199920	0
731	3
732	0
1600	41
115209	295
4070	1
114803	825
3725	2733
55277	186
51361	380
1573	57
127795	0
4774	417
83941	459
10207	304
54596	0
163782	0
7398	879
85440	1289
27329	0
84938	191
27022	0
29929	173
23421	336
84455	193
5236	1775
4919	630
148581	1
57685	186
55225	537
3716	4154
205	1588
9829	176
54741	2022
3953	215
5142	20
84251	22
200132	0
10022	0
79819	82
57708	1208
23169	201
400757	0
149233	0
3595	3
26135	7070
1647	1266
55970	7583
9077	3
79971	1024
6121	1
55635	921
57554	103
55631	420
9295	3158
81573	623
11147	168
1491	73
5733	10
9406	1962
257194	217
127255	23
100526835	1
8790	179
51086	0
127254	4
1429	593
127253	472
431707	0
204962	663
34	743
5876	994
4438	8
127247	0
256435	165
81849	23
10026	935
26289	133
26009	881
23032	1058
