Geneid	pOka_WT_3
79501	0
148398	28
26155	1454
339451	248
84069	51
84808	19
57801	280
9636	124
375790	13026
401934	2
54991	285
254173	0
8784	0
7293	1
51150	4354
126792	728
388581	5
118424	780
6339	85
116983	731
126789	311
54973	1025
80772	513
83756	9
1855	2084
54587	513
54998	1473
81669	1768
55052	836
441869	0
643965	0
64856	0
219293	2
83858	228
55210	717
339453	67
29101	1704
643988	949
142678	610
8510	2
984	402
728661	462
728642	114
9906	702
65220	1267
2782	8517
163688	1
339456	3
85452	0
2563	0
5590	388
199990	989
6497	695
79906	77
11079	2014
5192	530
9651	0
55229	281
388585	0
8764	571
127281	743
79258	0
100287898	1
140625	0
63976	434
27237	32
1953	738
127262	1141
49856	314
7161	24
148870	0
388588	20
57470	815
9731	561
1677	59
339448	254
55966	63
261734	262
8514	169
26038	2
6146	9432
388591	167
23463	2904
390992	0
387509	101
11332	1094
54626	1
83715	0
8718	39
57449	265
79707	274
80835	1
3104	176
9903	1546
148479	582
90326	258
55735	640
23261	610
9341	2826
8863	656
10911	0
3604	13
11315	2637
54206	334
50651	76
473	1323
2023	48876
765	0
155184	0
6518	1
80045	18
9563	1128
80176	247
84275	130
199953	443
5293	191
22883	4816
56998	439
84328	477
64802	204
116362	0
10277	1606
23095	1380
5226	3584
378708	14
100526739	101
1325	4
1676	654
5195	463
54897	42
148345	0
23435	2665
10747	68
6723	1657
5394	1627
2475	1666
10218	313
29914	362
57540	4
26232	34
93611	665
26270	41
10459	604
374946	1
57085	815
284498	0
4524	316
1185	460
4878	14
4879	18
90231	1717
5351	4770
9927	2053
60672	188
943	0
7133	0
55187	1122
9249	2465
343066	1
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	27
7799	467
23254	175
55092	156
727684	0
114827	3
79180	821
11330	0
63036	0
51032	2
842	127
23341	340
79814	0
84301	77
6248	110
23207	2514
284723	30
388595	0
54751	98
440567	146
23013	1403
7709	312
149563	0
27129	0
1187	0
1188	0
348487	26
1969	3271
128272	14
79363	31
54455	516
26099	3035
374955	0
55707	1256
100133301	0
55672	455
729574	0
729587	0
11223	20
9696	435
4237	1
23400	1604
6390	1641
11240	380
29943	443
51702	752
23569	0
353238	0
55920	1549
55160	658
81569	7
84966	0
127707	35
5081	0
80834	0
8659	268
126917	150
23352	3959
23065	1876
51154	834
22977	9
8574	1366
54896	452
832	2596
440574	785
100532736	5
4681	35
3362	0
255104	270
54546	0
23252	212
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	320
79594	703
163933	8
978	13
65018	2113
1650	8041
57576	14
400745	251
50809	2798
8672	2327
1889	2897
84224	92
249	0
5909	2
84196	1043
401944	3
3339	7448
23436	0
10136	0
998	3501
54361	5
9923	482
2046	0
712	0
714	0
713	0
2048	483
646262	0
729059	0
23028	1938
7798	1365
3352	65
10236	2868
80818	307
6920	9
55616	320
1870	97
3399	1033
6135	21230
6924	966
57095	674
11313	1560
2582	1274
3155	691
2517	937
1269	0
55629	0
10772	551
127294	0
58985	6
163702	93
57822	0
90529	354
57185	1403
11123	115
400746	0
10250	1471
25932	4567
864	0
25949	1009
57035	426
6007	15
23585	1547
6006	0
55219	379
26119	638
57134	21
