Geneid	pOka_M1_1
79501	0
148398	46
26155	1494
339451	269
84069	57
84808	22
57801	202
9636	157
375790	12461
401934	1
54991	243
254173	0
8784	0
7293	0
51150	4330
126792	761
388581	3
118424	763
6339	95
116983	727
126789	231
54973	1055
80772	487
83756	13
1855	2113
54587	451
54998	1337
81669	1785
55052	774
441869	0
643965	0
64856	1
219293	0
83858	210
55210	596
339453	76
29101	1829
643988	885
142678	612
8510	2
984	398
728661	525
728642	111
9906	776
65220	1175
2782	7903
163688	0
339456	4
85452	0
2563	0
5590	421
199990	1023
6497	691
79906	73
11079	2025
5192	494
9651	0
55229	255
388585	0
8764	732
127281	653
79258	0
100287898	2
140625	0
63976	452
27237	30
1953	563
127262	1117
49856	269
7161	15
148870	0
388588	22
57470	749
9731	507
1677	57
339448	230
55966	36
261734	289
8514	175
26038	3
6146	9698
388591	202
23463	2656
390992	0
387509	87
11332	972
54626	2
83715	0
8718	42
57449	307
79707	260
80835	0
3104	196
9903	1336
148479	585
90326	256
55735	814
23261	584
9341	2568
8863	806
10911	0
3604	15
11315	2688
54206	352
50651	72
473	1321
2023	56716
765	0
155184	0
6518	4
80045	31
9563	1213
80176	264
84275	115
199953	384
5293	224
22883	4783
56998	378
84328	462
64802	231
116362	1
10277	1448
23095	1246
5226	3376
378708	19
100526739	75
1325	3
1676	712
5195	458
54897	26
148345	0
23435	2598
10747	63
6723	1402
5394	1544
2475	1435
10218	254
29914	336
57540	2
26232	44
93611	702
26270	58
10459	564
374946	0
57085	761
284498	0
4524	367
1185	517
4878	15
4879	11
90231	1675
5351	5412
9927	1858
60672	164
943	0
7133	0
55187	1123
9249	2592
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
101060301	0
649330	0
343069	0
65122	0
400735	0
441871	0
391002	0
440561	0
343070	0
391003	0
653606	0
441873	0
645359	0
440563	0
343068	0
343071	0
645382	0
653619	0
101929983	0
729528	0
400736	0
645414	0
391004	0
645425	0
126755	0
10630	22
7799	444
23254	180
55092	142
727684	0
114827	1
79180	862
11330	2
63036	0
51032	4
842	132
23341	351
79814	0
84301	76
6248	136
23207	2255
284723	28
388595	0
54751	110
440567	119
23013	1219
7709	355
149563	1
27129	0
1187	0
1188	1
348487	47
1969	2774
128272	16
79363	37
54455	525
26099	2919
374955	1
55707	1198
100133301	0
55672	546
729574	0
729587	0
11223	22
9696	481
4237	0
23400	1253
6390	1601
11240	345
29943	348
51702	568
23569	0
353238	0
55920	1363
55160	615
81569	2
84966	0
127707	50
5081	0
80834	0
8659	229
126917	156
23352	3694
23065	2059
51154	752
22977	5
8574	1499
54896	380
832	2446
440574	643
100532736	3
4681	30
3362	0
255104	342
54546	0
23252	225
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
127731	0
55450	293
79594	645
163933	16
978	18
65018	1775
1650	8101
57576	9
400745	210
50809	2747
8672	2193
1889	2889
84224	102
249	0
5909	14
84196	1059
401944	0
3339	6442
23436	0
10136	0
998	3248
54361	3
9923	463
2046	0
712	0
714	0
713	0
2048	363
646262	0
729059	0
23028	1846
7798	1217
3352	43
10236	2757
80818	310
6920	8
55616	290
1870	88
3399	1134
6135	22169
6924	927
57095	662
11313	1545
2582	1320
3155	746
2517	863
1269	1
55629	277
10772	492
127294	1
58985	2
163702	86
57822	0
90529	358
57185	1367
11123	144
400746	0
10250	1350
25932	4200
864	0
25949	1127
57035	436
6007	25
23585	1454
6006	1
55219	344
26119	585
57134	15
57190	3477
56181	859
79000	60
164091	122
3925	4086
5051	241
2134	2
7780	0
84676	0
149420	109
79927	0
51042	328
10256	1
378807	0
64793	292
83442	3869
91544	558
1043	1
55057	20
257101	0
79727	0
79947	451
3151	4108
6195	699
8289	1241
55650	380
84243	394
2810	47
54707	343
63906	177
8431	0
10726	2633
126695	0
388610	172
115572	2
6548	762
23038	1008
84065	592
84958	3
9064	239
8547	1
388611	0
2827	60
10163	3538
27245	1655
2268	0
2537	651
199870	90
23673	692
5511	796
9473	42
6118	836
27293	69
55113	256
2140	488
5724	11
22826	2519
93974	1870
83667	533
54797	282
65979	599
1104	1560
54952	327
115273	15
6883	436
10691	127
51441	1415
4985	0
2035	583
399474	9
6429	973
51102	376
10076	48
4146	8
7805	2
9672	1979
9698	2167
79570	4
9410	741
51538	555
2170	27
347735	1772
64129	0
3061	0
553115	1068
1307	18
576	283
90853	705
8073	2840
10657	2489
55116	198
23633	1105
200081	1231
79140	157
55721	124
149069	38
56063	118
8668	3711
84734	10
3932	0
3065	1095
65108	920
100128071	18
81629	130
55108	1332
728116	6
653121	193
339487	290
5928	2351
81493	140
57648	1993
8565	1472
64766	336
252995	5
3208	1
113452	704
127544	304
204	3579
113451	97
55223	112
149076	311
127550	0
1912	1897
7579	107
114784	0
127540	0
84970	0
2709	8
127534	1
2707	1
2701	0
113444	540
58512	0
100506144	304
9204	317
79830	253
6421	2885
9202	1434
79932	2104
23154	870
339488	19
5690	2182
127703	388
63967	296
192670	311
26523	485
192669	146
27285	5
54936	613
1296	75
27095	1103
55700	2012
